BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
14719,6247784,14719.dat,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,1,0.43
15712,6348057,15712.dat,"Tile, Modified 1 x 1 with Open O Clip",88,70,Reddish Brown,Solid Colors,4,0.2
3020,4211186,3020.dat,Plate 2 x 4,88,70,Reddish Brown,Solid Colors,1,1.2
3023,4211063,3023.dat,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,1,0.36
3031,4243831,3031.dat,Plate 4 x 4,85,72,Dark Bluish Gray,Solid Colors,1,2.22
3068b,4271949,3068b.dat,Tile 2 x 2 with Groove,88,70,Reddish Brown,Solid Colors,1,0.48
3069b,4211052,3069b.dat,Tile 1 x 2 with Groove,85,72,Dark Bluish Gray,Solid Colors,2,0.26
3070b,4210848,3070b.dat,Tile 1 x 1 with Groove (3070),85,72,Dark Bluish Gray,Solid Colors,1,0.16
34103,,34103.dat,"Plate, Modified 1 x 3 with 2 Studs (Double Jumper)",85,72,Dark Bluish Gray,Solid Colors,2,0.43
35480,6248944,35480.dat,"Plate, Round 1 x 2 with Two Open Studs",88,70,Reddish Brown,Solid Colors,2,0.26
11402h,6103444,604547.dat,"Minifigure, Utensil Tool Cross Pein Hammer - 3-Rib Handle",95,179,Flat Silver,Pearl Colors,1,0.13
11402a,6103444,604550.dat,"Minifigure, Utensil Tool Screwdriver - Wide Head - 3-Rib Handle",95,179,Flat Silver,Pearl Colors,1,0.09
4073,4216581,6141.dat,"Plate, Round 1 x 1",88,70,Reddish Brown,Solid Colors,4,0.12
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
22,8.25,,,,,,,,
